SampleID,taxon,TSNE 1,TSNE 2
SRR19820311,g__Achromobacter,21.653772,5.80717
SRR19820311,g__Acinetobacter,-13.465649,-18.041084
SRR19820311,g__Akkermansia,-5.453158,13.959226
SRR19820311,g__Alistipes,-7.6163664,19.041882
SRR19820311,g__Alloprevotella,-7.5301404,14.2925
SRR19820311,g__Anaerotruncus,-4.837888,-0.06745591
SRR19820311,g__Bacillus,8.842896,-24.766197
SRR19820311,g__Bacteroides,-16.071354,9.941145
SRR19820311,g__Bifidobacterium,-5.5148335,29.008562
SRR19820311,g__Butyricicoccus,8.923703,1.925599
SRR19820311,g__Desulfovibrio,-14.522768,18.220987
SRR19820311,g__Erysipelatoclostridium,20.7669,-4.85868
SRR19820311,g__Gemella,5.237419,-15.00457
SRR19820311,g__Helicobacter,-11.794962,10.329462
SRR19820311,g__Lactobacillus,-1.0926552,19.973885
SRR19820311,g__Lactococcus,7.4354215,-11.781276
SRR19820311,g__Ligilactobacillus,-2.1909118,-1.2969608
SRR19820311,g__Odoribacter,7.439176,3.9952567
SRR19820311,g__Parabacteroides,-6.6095276,2.3323877
SRR19820311,g__Parasutterella,-7.273918,9.469687
SRR19820311,g__Pseudomonas,-4.6263313,-19.80211
SRR19820311,g__Serratia,8.304133,-15.949006
SRR19820311,g__Sphingobacterium,-19.898853,-6.1838737
SRR19820311,g__Stenotrophomonas,19.826855,4.240596
SRR19820311,g__Streptococcus,15.792761,21.709648
SRR19820312,g__Acinetobacter,-4.184093,-17.735472
SRR19820312,g__Aerococcus,-22.90886,-2.547832
SRR19820312,g__Akkermansia,8.27661,-2.151997
SRR19820312,g__Alcaligenes,-15.634256,2.0705552
SRR19820312,g__Alistipes,28.132164,-2.8765707
SRR19820312,g__Alloprevotella,14.950331,-0.97405
SRR19820312,g__Anaerotruncus,2.6841767,-4.290283
SRR19820312,g__Bacillus,5.218384,-21.293179
SRR19820312,g__Bacteroides,29.47086,-3.8787153
SRR19820312,g__Bifidobacterium,-14.8296585,15.014297
SRR19820312,g__Brevibacterium,10.281649,-15.386068
SRR19820312,g__Butyricicoccus,-11.778687,-10.048943
SRR19820312,g__Catenibacterium,4.76665,8.314762
SRR19820312,g__Corynebacterium,14.08515,-10.8557825
SRR19820312,g__Cutibacterium,16.583332,4.255114
SRR19820312,g__Desulfovibrio,22.472462,-11.329092
SRR19820312,g__Dysgonomonas,22.30203,2.8810332
SRR19820312,g__Erysipelatoclostridium,-8.392317,-0.83433706
SRR19820312,g__Gemella,-0.012276433,4.331877
SRR19820312,g__Haemophilus,20.034473,5.200994
SRR19820312,g__Helicobacter,-15.363413,7.523598
SRR19820312,g__Lactobacillus,-2.7481518,15.05569
SRR19820312,g__Lactococcus,8.950418,-10.541572
SRR19820312,g__Ligilactobacillus,-7.6792064,15.41772
SRR19820312,g__Lysinibacillus,20.314154,6.645233
SRR19820312,g__Megasphaera,2.7428827,-4.2960777
SRR19820312,g__Odoribacter,28.206842,-3.2415864
SRR19820312,g__Parabacteroides,29.224276,-2.5078332
SRR19820312,g__Paracoccus,-10.610996,-16.347858
SRR19820312,g__Parasutterella,-12.980147,3.9721859
SRR19820312,g__Pseudomonas,2.8856163,0.23370774
SRR19820312,g__Staphylococcus,28.62875,-1.4141634
SRR19820312,g__Stenotrophomonas,-1.8661119,-11.995196
SRR19820312,g__Streptococcus,-2.7071288,12.517789
SRR19820312,g__Weissella,-18.790594,22.425282
SRR19820313,g__Achromobacter,-6.53187,-17.40331
SRR19820313,g__Akkermansia,-4.3570614,12.307272
SRR19820313,g__Alistipes,-14.280141,13.234521
SRR19820313,g__Alloprevotella,-8.458909,14.356761
SRR19820313,g__Anaerotruncus,4.444589,6.065348
SRR19820313,g__Bacteroides,23.874678,-8.298817
SRR19820313,g__Bifidobacterium,-21.235575,-7.299682
SRR19820313,g__Butyricicoccus,10.117374,1.1226943
SRR19820313,g__Desulfovibrio,7.59601,-4.083656
SRR19820313,g__Erysipelatoclostridium,22.440083,-9.510132
SRR19820313,g__Gemella,-5.9895277,22.460148
SRR19820313,g__Helicobacter,-13.524523,10.33752
SRR19820313,g__Lactobacillus,23.428858,-6.392111
SRR19820313,g__Lactococcus,-19.944904,-1.6357396
SRR19820313,g__Ligilactobacillus,-9.790233,15.215526
SRR19820313,g__Odoribacter,-13.956173,1.6164813
SRR19820313,g__Parabacteroides,14.074342,3.164104
SRR19820313,g__Parasutterella,-8.009198,23.725903
SRR19820313,g__Pseudomonas,-10.876581,-1.5898921
SRR19820313,g__Serratia,-21.116873,-5.9116044
SRR19820313,g__Streptococcus,16.86444,-16.87991
SRR19820314,g__Achromobacter,22.54862,5.8176994
SRR19820314,g__Acinetobacter,-5.7001963,-20.78177
SRR19820314,g__Akkermansia,-4.975343,-7.920269
SRR19820314,g__Alistipes,-0.55815774,6.8277907
SRR19820314,g__Alloprevotella,-8.623705,13.419213
SRR19820314,g__Anaerotruncus,-5.794042,-3.3082888
SRR19820314,g__Bacteroides,26.920027,-4.68545
SRR19820314,g__Bifidobacterium,21.132404,10.012085
SRR19820314,g__Butyricicoccus,13.114169,-2.1507645
SRR19820314,g__Desulfovibrio,20.644318,-9.513748
SRR19820314,g__Erysipelatoclostridium,24.949383,-7.9824142
SRR19820314,g__Helicobacter,-14.968984,9.483588
SRR19820314,g__Lactobacillus,-2.1890495,20.289173
SRR19820314,g__Lactococcus,4.902602,-10.01103
SRR19820314,g__Ligilactobacillus,-8.836206,15.735184
SRR19820314,g__Mycobacterium,17.92857,0.06398891
SRR19820314,g__Odoribacter,22.96929,-2.7844598
SRR19820314,g__Parabacteroides,27.115717,-3.155652
SRR19820314,g__Parasutterella,-11.78961,4.084197
SRR19820314,g__Pseudomonas,19.330877,-13.60112
SRR19820314,g__Serratia,2.2751124,-18.073765
SRR19820314,g__Sphingobacterium,-1.1896158,1.5840386
SRR19820314,g__Staphylococcus,8.493697,-26.020405
SRR19820314,g__Stenotrophomonas,14.529924,6.129833
SRR19820314,g__Streptococcus,14.363686,19.79283
SRR19820319,g__Acinetobacter,2.8119943,-23.315042
SRR19820319,g__Akkermansia,8.512832,-2.770488
SRR19820319,g__Alistipes,14.498182,3.4310262
SRR19820319,g__Alloprevotella,12.658878,-1.0999382
SRR19820319,g__Anaerotruncus,-11.780552,-6.4874477
SRR19820319,g__Bacteroides,-11.420214,-1.8924805
SRR19820319,g__Bifidobacterium,-0.3527897,11.83375
SRR19820319,g__Butyricicoccus,-13.486111,-9.433924
SRR19820319,g__Desulfovibrio,-11.609181,19.141571
SRR19820319,g__Erysipelatoclostridium,20.97846,-3.6448352
SRR19820319,g__Helicobacter,-15.764158,5.0301147
SRR19820319,g__Lactobacillus,-4.453778,16.552805
SRR19820319,g__Lactococcus,8.347602,-11.131888
SRR19820319,g__Ligilactobacillus,14.460897,-6.9685245
SRR19820319,g__Lysinibacillus,-3.8110623,-11.560182
SRR19820319,g__Odoribacter,-16.536312,-6.2458863
SRR19820319,g__Parasutterella,-13.553133,4.885795
SRR19820319,g__Pseudomonas,-4.540245,-15.878467
SRR19820319,g__Staphylococcus,14.033623,-10.999457
SRR19820319,g__Streptococcus,15.164118,14.991292
SRR19820330,g__Acinetobacter,-0.70767546,-20.15817
SRR19820330,g__Akkermansia,-4.9001527,-6.3907137
SRR19820330,g__Alistipes,-18.791576,9.346785
SRR19820330,g__Alloprevotella,-6.2597003,13.04265
SRR19820330,g__Anaerotruncus,5.2406006,5.5412107
SRR19820330,g__Bacillus,5.03419,-21.687206
SRR19820330,g__Bacteroides,2.172614,15.4657345
SRR19820330,g__Bifidobacterium,-18.953526,-2.462498
SRR19820330,g__Butyricicoccus,10.015583,1.8948718
SRR19820330,g__Corynebacterium,26.665447,4.067296
SRR19820330,g__Desulfovibrio,-13.456729,22.046274
SRR19820330,g__Erysipelatoclostridium,21.316948,-5.7494326
SRR19820330,g__Gemella,0.7109436,5.1836753
SRR19820330,g__Helicobacter,-9.831605,12.9246855
SRR19820330,g__Lactobacillus,-3.1593747,17.69889
SRR19820330,g__Lactococcus,6.8909836,-9.932883
SRR19820330,g__Leuconostoc,-23.274822,-6.0847573
SRR19820330,g__Ligilactobacillus,23.993984,-5.4925957
SRR19820330,g__Odoribacter,18.086124,-9.8562765
SRR19820330,g__Parabacteroides,9.599085,7.6872396
SRR19820330,g__Parasutterella,-7.7358646,23.216476
SRR19820330,g__Pseudomonas,0.59348565,-19.65041
SRR19820330,g__Serratia,11.72118,-6.8684206
SRR19820330,g__Streptococcus,14.275145,20.967136
SRR19820341,g__Acinetobacter,26.406763,3.250434
SRR19820341,g__Akkermansia,11.340205,1.7437754
SRR19820341,g__Alistipes,-8.040456,20.421593
SRR19820341,g__Alloprevotella,-7.680933,12.63415
SRR19820341,g__Anaerotruncus,-5.8560057,-3.5952206
SRR19820341,g__Bacteroides,-20.044224,15.214178
SRR19820341,g__Bifidobacterium,-7.6377773,-10.604261
SRR19820341,g__Butyricicoccus,-5.5143085,-2.330294
SRR19820341,g__Desulfovibrio,-12.80853,20.60299
SRR19820341,g__Dysgonomonas,20.702126,1.7949656
SRR19820341,g__Erysipelatoclostridium,-18.145718,4.2184615
SRR19820341,g__Helicobacter,-13.640939,8.12202
SRR19820341,g__Lactobacillus,-4.277668,17.494013
SRR19820341,g__Lactococcus,8.839654,-12.001404
SRR19820341,g__Ligilactobacillus,-10.672987,17.606092
SRR19820341,g__Odoribacter,26.1559,-4.1591606
SRR19820341,g__Parabacteroides,-12.108947,13.547458
SRR19820341,g__Paracoccus,20.35312,-0.14093937
SRR19820341,g__Parasutterella,-8.367572,10.743836
SRR19820341,g__Pseudomonas,-2.4289763,-17.009558
SRR19820341,g__Streptococcus,15.003103,19.341566
SRR19820352,g__Achromobacter,-7.966499,-16.50644
SRR19820352,g__Acinetobacter,3.66547,-24.18853
SRR19820352,g__Adlercreutzia,-9.643079,6.3686805
SRR19820352,g__Akkermansia,12.613209,-5.645447
SRR19820352,g__Alcaligenes,-7.450888,-17.946152
SRR19820352,g__Alistipes,-15.752902,12.436716
SRR19820352,g__Alloprevotella,10.9461565,-1.0351425
SRR19820352,g__Anaerotruncus,-9.41388,-6.724046
SRR19820352,g__Bacteroides,26.17308,-8.006247
SRR19820352,g__Bifidobacterium,-7.6083517,17.094831
SRR19820352,g__Brevibacterium,9.015309,-15.897859
SRR19820352,g__Butyricicoccus,17.420404,-4.71872
SRR19820352,g__Corynebacterium,12.740781,-8.273811
SRR19820352,g__Desulfovibrio,-13.85549,22.604044
SRR19820352,g__Erysipelatoclostridium,-0.78435934,-9.953619
SRR19820352,g__Gemella,27.952503,-12.349106
SRR19820352,g__Helicobacter,-16.10468,5.843154
SRR19820352,g__Lactobacillus,-4.425621,19.280062
SRR19820352,g__Lactococcus,4.7316494,-9.212686
SRR19820352,g__Ligilactobacillus,-18.766218,22.396372
SRR19820352,g__Lysinibacillus,-3.821117,-21.260674
SRR19820352,g__Mycobacterium,-6.119305,-21.095497
SRR19820352,g__Odoribacter,10.749017,6.036982
SRR19820352,g__Parabacteroides,-8.659442,-7.8440294
SRR19820352,g__Paracoccus,-2.3129673,-18.230885
SRR19820352,g__Parasutterella,-12.478892,4.9805055
SRR19820352,g__Pseudomonas,-1.2111562,-16.453709
SRR19820352,g__Serratia,2.0833268,-18.320562
SRR19820352,g__Sphingobacterium,-18.093494,-3.9213607
SRR19820352,g__Staphylococcus,-21.208239,-3.7105992
SRR19820352,g__Stenotrophomonas,-3.0964859,-14.835362
SRR19820352,g__Streptococcus,13.324509,21.819925
SRR19820361,g__Acidaminococcus,11.796909,4.067519
SRR19820361,g__Acinetobacter,-9.601486,23.778763
SRR19820361,g__Aerococcus,6.6204615,-0.80203205
SRR19820361,g__Akkermansia,-4.274226,-5.5870256
SRR19820361,g__Alcaligenes,-3.7865102,-8.104498
SRR19820361,g__Alistipes,-1.8935748,1.8485861
SRR19820361,g__Alloprevotella,14.19395,-1.3159199
SRR19820361,g__Anaerococcus,-13.267102,-8.429928
SRR19820361,g__Anaerotruncus,-9.836187,-6.3863435
SRR19820361,g__Bacillus,16.676147,6.9005156
SRR19820361,g__Bacteroides,21.269644,-8.536521
SRR19820361,g__Bifidobacterium,-4.5572414,28.596483
SRR19820361,g__Bilophila,-12.261625,7.297157
SRR19820361,g__Brevibacterium,9.773995,-15.772345
SRR19820361,g__Brevundimonas,-4.3359814,-9.964283
SRR19820361,g__Butyricicoccus,17.422844,-5.711162
SRR19820361,g__Butyricimonas,17.621864,-6.3400664
SRR19820361,g__Campylobacter,-14.557889,3.770094
SRR19820361,g__Cellulosilyticum,-6.9334397,-7.7701225
SRR19820361,g__Cloacibacillus,11.956358,-3.6348276
SRR19820361,g__Collinsella,-23.345364,-4.419835
SRR19820361,g__Comamonas,-8.15137,-18.77368
SRR19820361,g__Corynebacterium,-2.8073826,9.3355875
SRR19820361,g__Cutibacterium,28.683289,-11.715469
SRR19820361,g__Desulfovibrio,-11.016938,19.846964
SRR19820361,g__Dialister,14.569374,0.8265496
SRR19820361,g__Dyadobacter,21.94341,-12.42044
SRR19820361,g__Enterococcus,-16.779833,17.383307
SRR19820361,g__Erysipelatoclostridium,-14.37681,-10.178154
SRR19820361,g__Exiguobacterium,4.5258956,-0.33616632
SRR19820361,g__Faecalibacterium,-14.851397,-13.700842
SRR19820361,g__Fusobacterium,-5.6355195,-18.598295
SRR19820361,g__Gemella,-5.694345,17.439608
SRR19820361,g__Helicobacter,-16.90664,5.342966
SRR19820361,g__Klebsiella,25.891777,5.7349963
SRR19820361,g__Lachnospira,-7.178022,-11.675646
SRR19820361,g__Lactobacillus,-4.577376,20.500074
SRR19820361,g__Lactococcus,-0.03505007,3.1258473
SRR19820361,g__Leuconostoc,-22.30715,-4.817403
SRR19820361,g__Ligilactobacillus,-9.374743,16.810848
SRR19820361,g__Limosilactobacillus,21.145193,10.511747
SRR19820361,g__Lysinibacillus,-17.149376,6.983237
SRR19820361,g__Megamonas,26.894474,-11.168869
SRR19820361,g__Megasphaera,9.83036,4.2303486
SRR19820361,g__Microbacterium,-1.5487198,-11.232306
SRR19820361,g__Mitsuokella,-1.5777028,-5.481644
SRR19820361,g__Mycobacterium,-8.752107,-13.95292
SRR19820361,g__Neisseria,14.832065,-5.0855007
SRR19820361,g__Odoribacter,-2.632236,2.5168972
SRR19820361,g__Paenibacillus,19.552568,5.6383576
SRR19820361,g__Parabacteroides,-0.20492116,0.39102164
SRR19820361,g__Paracoccus,-9.693493,-16.268263
SRR19820361,g__Parasutterella,-12.824858,2.751286
SRR19820361,g__Pediococcus,7.1894455,-15.402423
SRR19820361,g__Peptostreptococcus,-14.21952,-11.97782
SRR19820361,g__Plesiomonas,24.89557,3.7078679
SRR19820361,g__Porphyromonas,-14.678728,-8.350064
SRR19820361,g__Proteus,9.45627,-18.820772
SRR19820361,g__Providencia,-0.110010624,-16.409374
SRR19820361,g__Pseudomonas,-1.5146751,-3.465739
SRR19820361,g__Ruminococcus,15.228451,-3.4080613
SRR19820361,g__Serratia,-0.29994002,-15.878337
SRR19820361,g__Sphingobacterium,-2.8666174,-1.9850441
SRR19820361,g__Staphylococcus,4.005009,18.461721
SRR19820361,g__Stenotrophomonas,5.020098,-3.1453826
SRR19820361,g__Streptococcus,16.040241,-17.287485
SRR19820361,g__Succinivibrio,13.420699,-0.15752634
SRR19820361,g__Sutterella,-7.203581,-12.489286
SRR19820361,g__Varibaculum,13.904304,-5.747922
SRR19820361,g__Weissella,-21.7228,-5.946867
SRR19820362,g__Akkermansia,-4.758329,13.308299
SRR19820362,g__Alistipes,-7.221086,19.39919
SRR19820362,g__Alloprevotella,-7.6605077,13.612583
SRR19820362,g__Anaerotruncus,-8.357401,-5.831961
SRR19820362,g__Bacillus,8.984676,-24.425697
SRR19820362,g__Bacteroides,3.1627402,17.300074
SRR19820362,g__Bifidobacterium,-7.1760345,4.700083
SRR19820362,g__Butyricicoccus,16.62659,-4.8318367
SRR19820362,g__Desulfovibrio,-15.313685,17.544579
SRR19820362,g__Dysgonomonas,21.047085,2.4611034
SRR19820362,g__Erysipelatoclostridium,-12.686062,-5.956397
SRR19820362,g__Gemella,4.695821,-14.827768
SRR19820362,g__Helicobacter,-10.512376,7.8782344
SRR19820362,g__Lactobacillus,-1.9017175,17.010351
SRR19820362,g__Lactococcus,5.6990647,-10.8609
SRR19820362,g__Ligilactobacillus,-22.557781,-1.9213215
SRR19820362,g__Odoribacter,-11.399673,13.882701
SRR19820362,g__Parabacteroides,-6.0476074,2.278813
SRR19820362,g__Parasutterella,-8.837598,9.961027
SRR19820362,g__Pseudomonas,21.889374,-17.108458
SRR19820362,g__Staphylococcus,5.375124,-26.626852
SRR19820362,g__Streptococcus,15.492128,21.349255
SRR19820363,g__Achromobacter,-6.8491373,-16.377504
SRR19820363,g__Acinetobacter,4.076648,-24.96225
SRR19820363,g__Adlercreutzia,-10.616294,11.470905
SRR19820363,g__Akkermansia,14.399667,-3.2574759
SRR19820363,g__Alistipes,-18.713516,9.733972
SRR19820363,g__Alloprevotella,-6.690798,15.235932
SRR19820363,g__Anaerotruncus,5.3417735,4.117445
SRR19820363,g__Bacillus,-2.9369204,-25.135778
SRR19820363,g__Bacteroides,2.219703,16.120886
SRR19820363,g__Bifidobacterium,-4.4376664,29.020863
SRR19820363,g__Butyricicoccus,9.237857,1.3457038
SRR19820363,g__Butyricimonas,-12.9144335,-11.385373
SRR19820363,g__Desulfovibrio,-14.339396,19.870869
SRR19820363,g__Erysipelatoclostridium,-18.628473,6.0913324
SRR19820363,g__Flavonifractor,-4.498222,8.063264
SRR19820363,g__Gemella,27.76921,-12.929231
SRR19820363,g__Helicobacter,-12.776647,8.927114
SRR19820363,g__Lactobacillus,-3.98171,18.41754
SRR19820363,g__Lactococcus,4.664193,-10.365418
SRR19820363,g__Ligilactobacillus,-13.157125,15.680426
SRR19820363,g__Lysinibacillus,9.114158,5.7154408
SRR19820363,g__Odoribacter,-18.123966,14.417502
SRR19820363,g__Parabacteroides,-7.1448298,1.0011629
SRR19820363,g__Parasutterella,-9.326446,9.561307
SRR19820363,g__Pseudomonas,21.75582,-16.971682
SRR19820363,g__Serratia,9.574836,-17.858479
SRR19820363,g__Sphingobacterium,17.213821,-0.5167541
SRR19820363,g__Stenotrophomonas,15.771848,4.7588005
SRR19820363,g__Streptococcus,13.682616,20.815338
SRR19820364,g__Achromobacter,-5.596546,-16.29333
SRR19820364,g__Acinetobacter,3.750152,-24.021574
SRR19820364,g__Adlercreutzia,-9.638755,6.3712177
SRR19820364,g__Akkermansia,13.399733,-4.9292803
SRR19820364,g__Alistipes,-7.4217277,20.70382
SRR19820364,g__Alloprevotella,-6.167242,14.481509
SRR19820364,g__Anaerotruncus,-8.5516405,-6.2736692
SRR19820364,g__Bacteroides,1.7806886,16.881086
SRR19820364,g__Bifidobacterium,-5.1692286,29.578716
SRR19820364,g__Butyricicoccus,12.192165,0.18478484
SRR19820364,g__Butyricimonas,19.316488,-0.15172113
SRR19820364,g__Corynebacterium,14.200335,-12.224801
SRR19820364,g__Desulfovibrio,-14.098464,18.591309
SRR19820364,g__Erysipelatoclostridium,-15.940349,-13.123092
SRR19820364,g__Flavonifractor,-11.292881,-10.258384
SRR19820364,g__Gemella,-23.9262,-1.645805
SRR19820364,g__Helicobacter,-13.767595,9.187652
SRR19820364,g__Lactobacillus,-2.3046038,18.937775
SRR19820364,g__Ligilactobacillus,-3.7168226,9.320406
SRR19820364,g__Odoribacter,-18.950449,14.447738
SRR19820364,g__Parabacteroides,9.887552,6.699574
SRR19820364,g__Parasutterella,-7.5270348,10.469592
SRR19820364,g__Pseudomonas,-9.272521,-0.92181486
SRR19820364,g__Serratia,20.766321,4.667919
SRR19820364,g__Sphingobacterium,-18.563211,-4.269042
SRR19820364,g__Stenotrophomonas,3.9104214,-3.7825177
SRR19820364,g__Streptococcus,13.280593,20.623064