"","acerA_m","so3_m","so4_m","tma_m","tmao_m","h2s_m","xan_m","tsul_m","ura_m","nac_m","ppi_m","thymd_m","pac_m","h_m","ppa_m","mqn7_m","mnl_m","4hbz_m","h2o_m","apio_D_m"
"acerA_m",1,-0.222942930384784,-0.39546615722269,-0.333498963456202,-0.336337783385549,0.098429355948318,0.318913728535671,-0.305055765935008,0.20111767441363,0.212957626726679,0.419510059865716,-0.456431612709982,0.340634410759239,0.253589704673313,-0.185548933152889,-0.169093979649842,-0.124192539404812,0.167141066587084,0.361562245398059,1
"so3_m",-0.222942930384784,1,-0.0839084230398067,0.165506299104495,-0.0856967798470126,-0.498893067148677,-0.0832498163159621,-0.168081116688534,-0.0781202390537733,-0.0866921276557927,-0.120112671237219,0.0977705506155882,-0.184638568622699,-0.27135792870173,-0.199778497138447,0.12052985073576,0.133716742298146,-0.15504501122715,0.146350304463175,-0.222942930384784
"so4_m",-0.39546615722269,-0.0839084230398067,1,0.648572354107326,0.41869477339696,0.184084486575864,-0.287946004146995,0.357706603154085,-0.143489780871656,0.0719831865513537,-0.0659212828686348,0.459807916431084,0.326615018895225,0.129226980240517,0.477818293385386,0.50541325276472,0.171310296189068,-0.255741991559158,-0.571183727434915,-0.39546615722269
"tma_m",-0.333498963456202,0.165506299104495,0.648572354107326,1,-0.0371786344225397,0.332232752571595,-0.394593323059436,0.0610786073227387,-0.260356806208146,0.0513027947577095,-0.13427335113157,0.455959782234241,0.387091476131533,0.0435575739538068,0.422743845730642,0.638784491214775,0.199616279247462,-0.225093865402088,-0.270468855022731,-0.333498963456202
"tmao_m",-0.336337783385549,-0.0856967798470126,0.41869477339696,-0.0371786344225397,1,-0.247751446887648,-0.0528475783110302,0.749498377553695,-0.132388623725155,-0.0586773798259016,0.0644415072453844,0.22689048925908,-0.113742266870173,0.215008638174332,0.162051114370117,0.0667876962503839,0.0794598327955477,-0.104177178806067,-0.546967872019102,-0.336337783385549
"h2s_m",0.098429355948318,-0.498893067148677,0.184084486575864,0.332232752571595,-0.247751446887648,1,-0.0278575651159031,-0.2343124606653,0.0815241382478722,0.112768718361051,-0.0405290577623632,0.116610624051404,0.324545729906002,0.127394423628319,0.278898887139626,0.113954994629256,-0.151329488541782,0.0338411675444808,-0.126961429113677,0.098429355948318
"xan_m",0.318913728535671,-0.0832498163159621,-0.287946004146995,-0.394593323059436,-0.0528475783110302,-0.0278575651159031,1,-0.153960588750987,0.399963060496315,0.068295066612937,-0.0375898512150472,-0.0002617153233686,-0.154532969350794,0.0492725136254993,-0.12602611656866,-0.388078459068923,-0.158336739431923,0.312486496831143,0.282867306486193,0.318913728535671
"tsul_m",-0.305055765935008,-0.168081116688534,0.357706603154085,0.0610786073227387,0.749498377553695,-0.2343124606653,-0.153960588750987,1,-0.261809385489092,0.0069451438086304,0.0849658820528166,0.179684395185029,-0.048555691053239,0.242185469414112,0.163941361274579,0.106265994729122,0.141475124112644,-0.0678824227018286,-0.53766833689361,-0.305055765935008
"ura_m",0.20111767441363,-0.0781202390537733,-0.143489780871656,-0.260356806208146,-0.132388623725155,0.0815241382478722,0.399963060496315,-0.261809385489092,1,0.0193697983643252,-0.0997595179204115,-0.111861905222242,-0.0993581886501312,-0.0896426467211407,-0.127917358797454,-0.295090464814714,-0.17970820437737,0.30474401110212,0.126341670482375,0.20111767441363
"nac_m",0.212957626726679,-0.0866921276557927,0.0719831865513537,0.0513027947577095,-0.0586773798259016,0.112768718361051,0.068295066612937,0.0069451438086304,0.0193697983643252,1,0.022276249933322,0.0727975213663461,0.209647689850975,0.140772499316285,0.0878934455474507,0.023569593156567,0.0550724773706698,0.0944531999578008,-0.0247363784336371,0.212957626726679
"ppi_m",0.419510059865716,-0.120112671237219,-0.0659212828686348,-0.13427335113157,0.0644415072453844,-0.0405290577623632,-0.0375898512150472,0.0849658820528166,-0.0997595179204115,0.022276249933322,1,-0.328452311222614,0.298979484723264,0.204107173605096,-0.147634983411015,0.0207664740599401,0.177781703025757,-0.108630656182463,0.120157591488911,0.419510059865716
"thymd_m",-0.456431612709982,0.0977705506155882,0.459807916431084,0.455959782234241,0.22689048925908,0.116610624051404,-0.0002617153233686,0.179684395185029,-0.111861905222242,0.0727975213663461,-0.328452311222614,1,0.120844553487467,-0.0238754617698973,0.374451208411139,0.398576489907346,0.173296475761772,-0.0818499936765455,-0.275630035469444,-0.456431612709982
"pac_m",0.340634410759239,-0.184638568622699,0.326615018895225,0.387091476131533,-0.113742266870173,0.324545729906002,-0.154532969350794,-0.048555691053239,-0.0993581886501312,0.209647689850975,0.298979484723264,0.120844553487467,1,0.164525643797845,0.245935721687755,0.463715120743457,0.0715824265083672,-0.0403385098150574,-0.113043068034694,0.340634410759239
"h_m",0.253589704673313,-0.27135792870173,0.129226980240517,0.0435575739538068,0.215008638174332,0.127394423628319,0.0492725136254993,0.242185469414112,-0.0896426467211407,0.140772499316285,0.204107173605096,-0.0238754617698973,0.164525643797845,1,0.118193418453602,-0.0779300980681054,-0.0169441305540128,0.0728833230489825,-0.168990549410662,0.253589704673313
"ppa_m",-0.185548933152889,-0.199778497138447,0.477818293385386,0.422743845730642,0.162051114370117,0.278898887139626,-0.12602611656866,0.163941361274579,-0.127917358797454,0.0878934455474507,-0.147634983411015,0.374451208411139,0.245935721687755,0.118193418453602,1,0.297254183821731,-0.0667309844521545,-0.0231428783459642,-0.396437680294462,-0.185548933152889
"mqn7_m",-0.169093979649842,0.12052985073576,0.50541325276472,0.638784491214775,0.0667876962503839,0.113954994629256,-0.388078459068923,0.106265994729122,-0.295090464814714,0.023569593156567,0.0207664740599401,0.398576489907346,0.463715120743457,-0.0779300980681054,0.297254183821731,1,0.16407678015083,-0.307179717472034,-0.189301925253098,-0.169093979649842
"mnl_m",-0.124192539404812,0.133716742298146,0.171310296189068,0.199616279247462,0.0794598327955477,-0.151329488541782,-0.158336739431923,0.141475124112644,-0.17970820437737,0.0550724773706698,0.177781703025757,0.173296475761772,0.0715824265083672,-0.0169441305540128,-0.0667309844521545,0.16407678015083,1,-0.00991672098183117,0.048038173045738,-0.124192539404812
"4hbz_m",0.167141066587084,-0.15504501122715,-0.255741991559158,-0.225093865402088,-0.104177178806067,0.0338411675444808,0.312486496831143,-0.0678824227018286,0.30474401110212,0.0944531999578008,-0.108630656182463,-0.0818499936765455,-0.0403385098150574,0.0728833230489825,-0.0231428783459642,-0.307179717472034,-0.00991672098183117,1,0.180404782754683,0.167141066587084
"h2o_m",0.361562245398059,0.146350304463175,-0.571183727434915,-0.270468855022731,-0.546967872019102,-0.126961429113677,0.282867306486193,-0.53766833689361,0.126341670482375,-0.0247363784336371,0.120157591488911,-0.275630035469444,-0.113043068034694,-0.168990549410662,-0.396437680294462,-0.189301925253098,0.048038173045738,0.180404782754683,1,0.361562245398059
"apio_D_m",1,-0.222942930384784,-0.39546615722269,-0.333498963456202,-0.336337783385549,0.098429355948318,0.318913728535671,-0.305055765935008,0.20111767441363,0.212957626726679,0.419510059865716,-0.456431612709982,0.340634410759239,0.253589704673313,-0.185548933152889,-0.169093979649842,-0.124192539404812,0.167141066587084,0.361562245398059,1
